NR	Opprettet	Endret	spmFunk	spmHvor	spmTriv	byggestoy1	personstoy1	trafikk1	vifte1	annet1	spmEff	byggestoy2	personstoy2	trafikk2	vifte2	annet2	spmTiltak_1	spmTiltak_2	spmTiltak_3	spmTiltak_4	spmTiltak_5	spmTiltak_6	spmTiltak_7	spmTekst	Svartid
25849933	15.02.2023 12:28	15.02.2023 12:28	stud	tapir	3	2	4	1	1	2	2	2	4	1	1	2	mNc							Få en spørreundersøkelse om luft istedenfor -.-	2 minutter 47 sekunder
25849939	15.02.2023 12:28	15.02.2023 12:28	stud	real	1	1	1	1	1	1	1	1	1	1	1	1	mNc								1 minutt 26 sekunder
25849993	15.02.2023 12:29	15.02.2023 12:29	stud	elD	4	5	4	1	1	1	4	5	4	1	1	1	mNc				ingenting			Drit i å bygg så jævlig mye	2 minutter 24 sekunder
25849998	15.02.2023 12:29	15.02.2023 12:29	stud	kjel	5	1	3	1	1	1	2	1	3	1	1	1	mNc								1 minutt 9 sekunder
25850014	15.02.2023 12:30	15.02.2023 12:30	stud	real	1	1	2	1	2	1	1	1	1	1	1	1	mNc	uNc	flytt						2 minutter 13 sekunder
25850019	15.02.2023 12:30	15.02.2023 12:30	stud	real	2	1	2	1	1	2	2	4	4	3	3	2		uNc							1 minutt 31 sekunder
25850020	15.02.2023 12:30	15.02.2023 12:30	stud	real	2	1	3	1	1	1	2	1	3	1	2	1	mNc	uNc						Nei	2 minutter 5 sekunder
25850035	15.02.2023 12:31	15.02.2023 12:31	stud	real	5	1	5	1	3	4	5	1	5	1	3	4	mNc		flytt		ingenting			Bedre og flere leseplasser og ikke la støy fra kantine infiltrere lesesaler og grupperom	2 minutter 13 sekunder
25850202	15.02.2023 12:37	15.02.2023 12:37	stud	gruve	4	5	3	2	4	5	3	4	5	3	3	4	mNc		flytt	demp					5 minutter 50 sekunder
25850518	15.02.2023 12:50	15.02.2023 12:50	stud	real	2	1	2	1	1	2	2	1	2	1	1	2	mNc		flytt						1 minutt 42 sekunder
25850718	15.02.2023 12:57	15.02.2023 12:57	stud	gamEl	5	5	5	2	3	2	5	5	5	2	3	2	mNc		flytt		ingenting			Lesesal på elektrobygget typ Realfagsbiblioteket. Ikkje snakk om dei nye plassane i gange for gangen er enormt støyete.	2 minutter 9 sekunder
25850835	15.02.2023 13:00	15.02.2023 13:00	stud	hoved	2	2	4	1	3	1	3	2	4	1	2	1	mNc		flytt					Henge opp lapper/ ha stillesoner	1 minutt 32 sekunder
25850842	15.02.2023 13:01	15.02.2023 13:01	stud	real	4	3	4	2	1	3	4	4	5	2	1	1	mNc		flytt						54 sekunder
25851013	15.02.2023 13:09	15.02.2023 13:09	stud	sent1	1	1	1	1	1	1	1	1	1	1	1	1	mNc					paavirk			1 minutt 7 sekunder
25852116	15.02.2023 13:54	15.02.2023 13:54	stud	gamFys	4	5	2	1	1	1	4	4	3	1	1	1	mNc								3 minutter 22 sekunder
25852217	15.02.2023 13:58	15.02.2023 13:58	stud	real	5	1	5	1	3	2	4	1	4	1	1	1	mNc		flytt		ingenting				1 minutt 24 sekunder
25852376	15.02.2023 14:03	15.02.2023 14:03	stud	itSyd	2	2	1	4	2	1	4	3	1	5	1	1	mNc								12 minutter 27 sekunder
25852513	15.02.2023 14:10	15.02.2023 14:10	stud	real	4	2	4	1	3	1	4	2	5	2	3	2	mNc							Er nå på utveksling i København (DTU) der låne r de bort sound canceling headsett til alle studenter helt gratis på biblioteket. Har fast lese plass rett ved realfagskantinen. Ikke helt heldig. Mye støy der, ikke helt heldig å plassere lesesaler rett ved. Kunne også gjort noe med lyddemping i kantinen forsi det er ikke helt heldig. Abakus sitt pingpongbord og pianoet hjelper ikke akkurat det heller.	5 minutter 40 sekunder
25852831	15.02.2023 14:22	15.02.2023 14:22	stud	kjemi1	3	2	4	3	3	1	3	3	4	3	4	2		uNc							1 minutt 41 sekunder
25852845	15.02.2023 14:23	15.02.2023 14:23	stud	gruve	2	1	2	1	2	3	3	1	3	1	2	3	mNc		flytt	demp				De pipende dørene på grupperom er forferdelige	2 minutter 1 sekund
25852946	15.02.2023 14:28	15.02.2023 14:28	stud	real	5	2	5	1	1	1	5	2	5	1	1	1	mNc		flytt						1 minutt 40 sekunder
25853751	15.02.2023 14:53	15.02.2023 14:53	stud	tapir	3	1	5	1	1	1	3	1	5	1	1	1	mNc		flytt					Fleire arbeidsplassar, er altfor mange studentar samenligna med antall arbeidsplassar	4 minutter 50 sekunder
25854013	15.02.2023 15:02	15.02.2023 15:02	stud	real	3	1	4	1	1	2	3	1	4	1	1	3	mNc	uNc	flytt						55 sekunder
25854023	15.02.2023 15:02	15.02.2023 15:02	stud	kjemi2	5	1	5	1	4	1	4	1	5	1	4	1	mNc		flytt						1 minutt 35 sekunder
25854321	15.02.2023 15:19	15.02.2023 15:19	stud	gruve	4	1	4	1	2	1	3	1	3	1	1	1	mNc		flytt	demp					1 minutt 46 sekunder
25854957	15.02.2023 15:55	15.02.2023 15:55	stud	sent1	3	1	5	2	4	1	3	1	5	1	3	1					ingenting			Sitter på tegnesal(arkitketur). Med mange studenter i lite som bærer lyden godt. Gi oss mer plass. Også reduser støy fra ventilasjon	3 minutter 47 sekunder
25855493	15.02.2023 16:33	15.02.2023 16:33	stud	gamEl	3	5	2	2	3	1	3	4	2	2	3	1	mNc				ingenting				1 minutt 22 sekunder
25855692	15.02.2023 16:49	15.02.2023 16:49	ans	elB	3	5	3	2	1	1	5	5	3	2	1	1		uNc	flytt		ingenting			Byggearbeider om natta	5 minutter 24 sekunder
25855971	15.02.2023 17:11	15.02.2023 17:11	stud	elE	5	5	2	2	1	1	4	4	1	1	1	1		uNc	flytt		ingenting			Dele ut hørselvern når arbeiderne bruker det. Flytte sterkt støyende arbeid utenfor vanlig arbeidstid. Jeg tenker spesielt på hamring med metallhammer på stillas, det er til stor sjenanse. Kanskje hammeren kan erstattes med gummislegge?	7 minutter 50 sekunder
25856059	15.02.2023 17:20	15.02.2023 17:20	stud	gamFys	3	5	3	1	1	1	4	5	3	1	1	1	mNc		flytt		ingenting		annet		2 minutter 4 sekunder
